Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.1528631,0.00146286250891875,0.128972034247739,0.0708423,0.00956975561086194,0.843709399114235,0.463436238045676,0.962657923205374,0.843763669741803,0.463436238045676,0.77972716739825,0.251353384195153,0.967895384973833
1,0.152788,0.00124698280862248,0.128772842267479,0.0706989,0.00816152321270311,0.842820393404449,0.462725475822709,0.961523630481817,0.842859908881412,0.462725475822709,0.780556522056099,0.251090966596357,0.967963494401368
2,0.1526051,0.00188946003000859,0.1289501846482,0.0707553,0.0123813688402851,0.844992629002572,0.463649642115499,0.963917440446467,0.845083333975436,0.463649642115499,0.778072369989712,0.25128926893319,0.967912032841323
3,0.1526974,0.00184660935906866,0.128821208371312,0.0707659,0.012093259997018,0.843637209090083,0.463438801184565,0.962624282854971,0.843723881076422,0.463438801184565,0.778231319847793,0.251360198748413,0.967893615272442
4,0.1528144,0.001638224990653,0.128738547588591,0.0708007,0.0107203574444097,0.842450368476998,0.463311703609084,0.961506777985427,0.842518575113193,0.463311703609084,0.779035902041077,0.251455648733756,0.967868822062105
5,0.1525555,0.00216113045534047,0.128603419482707,0.0708059,0.0141661916832921,0.842994316709044,0.464132069967979,0.962423335836843,0.843113336978224,0.464132069967979,0.776996648617691,0.251819603632689,0.967774192271253
6,0.1526458,0.00196087781490842,0.128729991596539,0.0708474,0.0128459336248257,0.843324818609742,0.464129376635322,0.962693017503368,0.843422650688164,0.464129376635322,0.777782509299412,0.2517758889759,0.967785565985769
7,0.1528985,0.00157911086374582,0.128849421931881,0.0706953,0.010327837511459,0.842712138653299,0.462367518320978,0.961277345441772,0.842775422554123,0.462367518320978,0.779270732679746,0.25090822932733,0.968010878273495
8,0.1527991,0.00186131718011735,0.128735789872145,0.0708718,0.0121814669073139,0.842516676290271,0.463823412572456,0.961828932822037,0.842604734121058,0.463823412572456,0.778169452959441,0.251721600397225,0.967799687896963
9,0.1528383,0.00180298087066948,0.128618763699858,0.0708599,0.011796656143581,0.841534901264005,0.463626590978832,0.960869276751131,0.841617580104877,0.463626590978832,0.778389610623008,0.251749655296204,0.967792390473413
