Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.2355542,-0.00489735085581991,0.0315090317230632,-0.2191836,-0.0207907600705906,0.133765527097641,-0.930501769868676,0.940297301747038,0.135371606860606,0.930501769868676,-0.708301588776469,-0.819557019257851,0.572997637154976
1,0.235466,-0.00499719433332345,0.0319318815782127,-0.2192237,-0.0212225728271744,0.135611432555922,-0.931020614441151,0.941084609773028,0.13726200580377,0.931020614441151,-0.707779994341638,-0.818650943836943,0.574291417448392
2,0.2355104,-0.00490265415667881,0.0318216436310257,-0.2192594,-0.0208171450461585,0.135117785163737,-0.930996677853717,0.940980862488756,0.136711994336366,0.930996677853717,-0.70896580186406,-0.81902599998274,0.573756404192818
3,0.2355575,-0.00468083475942059,0.0315790352944006,-0.2192652,-0.019871304286302,0.134060835653293,-0.930835146407989,0.940649374729225,0.135525556225009,0.930835146407989,-0.711820885760069,-0.819739495342138,0.572736553553391
4,0.2354682,-0.00464286312527087,0.0317584282847877,-0.2192225,-0.0197175802306675,0.134873534026198,-0.931006819604516,0.940932171466671,0.136307201390348,0.931006819604516,-0.712815785311257,-0.819326691290319,0.573326933729141
5,0.2355992,-0.00505150013411858,0.0315952987503679,-0.219284,-0.0214410750720655,0.134106137670959,-0.930750189304548,0.940606235760597,0.135809336428937,0.930750189304548,-0.706128360338864,-0.819459885961926,0.573136541584348
6,0.2353791,-0.00476561686248485,0.0320262803335011,-0.2192176,-0.0202465591145724,0.136062549026235,-0.931338423844768,0.941442616484485,0.13756067898748,0.931338423844768,-0.711538465335938,-0.818715380241284,0.574199552556748
7,0.2354978,-0.00490597755855038,0.0319409325450119,-0.2192742,-0.0208323710818121,0.1356315538617,-0.931109335203981,0.941166563468884,0.137222104953355,0.931109335203981,-0.709196023935632,-0.818757682556805,0.574139231593009
8,0.2356545,-0.00484594419282765,0.0315231031480088,-0.219358,-0.020563766840131,0.133768305498129,-0.930845793311819,0.940633147932181,0.135339676601121,0.930845793311819,-0.7091318218404,-0.819883082126137,0.572530987496175
9,0.2353254,-0.00467581430127416,0.0321422458456157,-0.2192815,-0.0198695691212005,0.13658638568389,-0.931822489200061,0.941989273776643,0.138024057798815,0.931822489200061,-0.71316856098286,-0.818807373020222,0.574068363426973
10,0.2355992,-0.00499203245382079,0.0316693328303581,-0.2192547,-0.0211886647060804,0.134420375070705,-0.930625825554586,0.940522314427111,0.136080111501188,0.930625825554586,-0.707226447839155,-0.819155107226444,0.573572061998171
11,0.2354959,-0.00477396072250285,0.0319012638545873,-0.2193231,-0.020271948354527,0.135464200670106,-0.931324494396718,0.94134309123538,0.136972630672261,0.931324494396718,-0.711125319647721,-0.819126572858707,0.573612811604438
12,0.2356246,-0.00497739534345023,0.0316077438297168,-0.2192878,-0.0211242601300977,0.134144498620759,-0.930665983093446,0.94052121345749,0.135797573160417,0.930665983093446,-0.707302528270564,-0.819394234576342,0.573230397260169
13,0.235645,-0.00484000449586568,0.031462433386183,-0.2193258,-0.0205393897424757,0.133516235804634,-0.930746674022364,0.94049870970572,0.135086830425589,0.930746674022364,-0.709079241284942,-0.819978392026089,0.572394476397449
14,0.2352498,-0.00442288220564373,0.0320662318666382,-0.2191938,-0.0188007905028771,0.136307158886588,-0.931749144951452,0.941854330777869,0.137597642738772,0.931749144951452,-0.716865785130869,-0.819049820381362,0.573722399539411
15,0.2358454,-0.00493058487453567,0.031090565929957,-0.2192867,-0.0209060039947172,0.131826043373994,-0.929790023464524,0.939321379746479,0.133473468204993,0.929790023464524,-0.70675915198558,-0.820301532895138,0.571931285321836
16,0.235414,-0.00447004622794888,0.0317307096989651,-0.2192686,-0.0189880220715373,0.134786842324437,-0.931416993042045,0.941310603771926,0.13611773523675,0.931416993042045,-0.715421424875205,-0.81982435812249,0.572615073001967
17,0.2357819,-0.00499839641485146,0.0311398512726057,-0.2192404,-0.0211992371545545,0.132070575699855,-0.929844063518022,0.939415790308708,0.133761147653667,0.929844063518022,-0.705819743118566,-0.820141054791255,0.572161384790941
18,0.2355056,-0.00459534554957513,0.031525648732421,-0.2192567,-0.0195126805883815,0.133863690427833,-0.931004188435434,0.940781075066364,0.135278351256596,0.931004188435434,-0.713025224373506,-0.820066891441153,0.572267676495924
19,0.235612,-0.00464201459713345,0.0311015260850653,-0.2192826,-0.0197019447105132,0.132003149606409,-0.930693682834491,0.940214725155598,0.133465344308507,0.930693682834491,-0.711318219419604,-0.821104665888377,0.570777651679125
20,0.2356744,-0.00486065201387632,0.0310189360130228,-0.2192678,-0.0206244378425333,0.131617757435779,-0.930384462631495,0.939874379805535,0.1332238773972,0.930384462631495,-0.707680409847132,-0.821006758848403,0.570918472222821
21,0.2356835,-0.00459626478839068,0.030834310432455,-0.2193076,-0.0195018522229629,0.130829313178288,-0.930517410001124,0.939871949651669,0.13227483293064,0.930517410001124,-0.711411284969333,-0.821812322360542,0.569758288062905
22,0.2357491,-0.00474376726294619,0.0307269716230708,-0.2192811,-0.0201221012633609,0.130337598841611,-0.930146074788833,0.939449045492156,0.131881722126494,0.930146074788833,-0.708810585181982,-0.82176967487499,0.569819797353385
23,0.2356274,-0.0046289331216815,0.0309198703529785,-0.2192962,-0.0196451394094299,0.131223577364001,-0.930690573337396,0.940101325420677,0.132685940320073,0.930690573337396,-0.711096280799571,-0.821666924791529,0.569967950593392
24,0.2355288,-0.00455928310373462,0.03102204728286,-0.21929,-0.0193576458748765,0.131712331073143,-0.931053866873181,0.940523343479597,0.133127219645489,0.931053866873181,-0.71243593563051,-0.821667550413687,0.569967048694195
25,0.2356457,-0.00460071956111215,0.0308647867347241,-0.2193214,-0.0195238850575765,0.130979630584068,-0.93072523708262,0.94009909725421,0.13242675604152,0.93072523708262,-0.71141268155484,-0.821885594028207,0.569652587397707
26,0.2355709,-0.00453389797029002,0.0307551144729621,-0.2192432,-0.0192464263212902,0.130555660622607,-0.930688807488531,0.939998330759779,0.131966683093674,0.930688807488531,-0.712215612515062,-0.82218745603444,0.569216819094109
27,0.2355228,-0.00441899311834721,0.0310284112438907,-0.2192934,-0.0187624854933247,0.131742707049554,-0.931092021664145,0.940553307648884,0.133072054626927,0.931092021664145,-0.714665005480448,-0.821741228072838,0.569860819924781
28,0.235737,-0.00472488751188851,0.0306966367421579,-0.2193754,-0.0200430459023764,0.13021560782634,-0.93059383974514,0.939873780239789,0.131749110853273,0.93059383974514,-0.709036456700713,-0.822261604467731,0.569109702797407
29,0.2353806,-0.00430536105861053,0.0310796764855267,-0.2192761,-0.0182910616193965,0.132040093727039,-0.931581022395219,0.941069790490339,0.133300972564381,0.931581022395219,-0.716572890090928,-0.822006726322029,0.569477779971563
30,0.2355252,-0.00432523075916187,0.0309421442165859,-0.219352,-0.0183641952502826,0.131375089445146,-0.931331339491485,0.940730950757396,0.132652394603002,0.931331339491485,-0.715955896654233,-0.822256981867698,0.569116381568677
31,0.2357312,-0.00449663344292149,0.0306324314464262,-0.2194426,-0.0190752579332795,0.129946445130836,-0.930901806803681,0.940121331519353,0.131339042433553,0.930901806803681,-0.712522026952004,-0.822831858433239,0.56828490455695
32,0.235679,-0.00466068221615677,0.0306246532718331,-0.2194416,-0.0197755515602017,0.129942223413342,-0.93110374704577,0.94033517515181,0.131438403311639,0.93110374704577,-0.709883967176924,-0.822938079811058,0.568131073606161
33,0.2357758,-0.00448991592850022,0.030148416854704,-0.2194201,-0.0190431584942145,0.127869004599726,-0.930630285211629,0.939566842739695,0.129279249002926,0.930630285211629,-0.711477923359537,-0.824092257104087,0.566455604421998
34,0.2356339,-0.00428457211924364,0.0302508059166198,-0.2193908,-0.0181831736403109,0.128380534025961,-0.931066370331264,0.940051474804576,0.129661826766495,0.931066370331264,-0.715048600875772,-0.82419919684842,0.566299994626894
35,0.2356375,-0.004412912000029,0.0302811407975327,-0.2193791,-0.0187275454884261,0.128507308036848,-0.931002493236433,0.940016218791651,0.129864734161736,0.931002493236433,-0.713041837164103,-0.823994647401008,0.566597582993864
36,0.2355864,-0.00419653732498592,0.0304067229618714,-0.2194229,-0.0178131561286472,0.129068244015238,-0.931390351904864,0.940459413141209,0.130291673350374,0.931390351904864,-0.716824628821572,-0.824026553379861,0.56655117979306
37,0.2357011,-0.00424094363084444,0.0303065966416554,-0.2195436,-0.0179928885815316,0.128580633020616,-0.931449195612579,0.940454319589638,0.129833444179416,0.931449195612579,-0.715882229515966,-0.824412837494892,0.56598893396746
38,0.2356434,-0.00427304627871031,0.0303948435679475,-0.2195267,-0.0181335283683324,0.128986610989094,-0.931605553136646,0.940667463719551,0.1302550216519,0.931605553136646,-0.715563545073193,-0.824243675356627,0.566235254673002
39,0.2357047,-0.00438993102964044,0.0303073744591147,-0.2195355,-0.0186247072274776,0.128581969129656,-0.931400604230633,0.940418677008149,0.129923833473959,0.931400604230633,-0.713474898893159,-0.824303883711378,0.566147602042381
40,0.2356744,-0.00419540595413602,0.0300451085539726,-0.2195239,-0.017801704190765,0.12748566901612,-0.9314711313575,0.940323330046109,0.128722556207462,0.9314711313575,-0.716028259338622,-0.82524365818228,0.564776862689973
41,0.2356436,-0.00426830866327635,0.0300895855705093,-0.2194517,-0.0181134079740606,0.127691079114855,-0.931286485183557,0.940174252316822,0.128969404255238,0.931286485183557,-0.714941561124531,-0.824899666610461,0.565279169991208
42,0.2357024,-0.00422227601182111,0.0301214760863408,-0.2195481,-0.0179135893899303,0.127794524308368,-0.931463150141874,0.940359472329734,0.129043934875039,0.931463150141874,-0.7157644076596,-0.825001686267388,0.565130266094435
43,0.2357091,-0.0042218517477524,0.0301127079622541,-0.2195541,-0.0179112802507514,0.127753692845351,-0.931462128530464,0.94035286827996,0.129003178239318,0.931462128530464,-0.715751301974421,-0.825030563672177,0.565088107295463
44,0.2356758,-0.00419816367058265,0.0301605790913404,-0.2195044,-0.0178132997557774,0.127974866708166,-0.931382857298034,0.940302561426806,0.129208669048025,0.931382857298034,-0.716245619065879,-0.824810225804618,0.565409666885997
45,0.2355749,-0.00407540993336866,0.0300495633266941,-0.2194097,-0.0172998478758504,0.127558425480364,-0.931379786216613,0.940233344877994,0.128726208083502,0.931379786216613,-0.717997932775209,-0.825160060558912,0.564898994917156
46,0.2355745,-0.00407003592183165,0.0300273601737649,-0.219464,-0.0172770648853405,0.127464390983595,-0.931611868007785,0.940450073397214,0.128629965170916,0.931611868007785,-0.718036565950308,-0.825436056774113,0.564495629900891
47,0.235476,-0.00386780338241229,0.0302595740407065,-0.2194625,-0.0164254674888833,0.128503856192166,-0.931995192716031,0.940955937482875,0.129549361397443,0.931995192716031,-0.721832443265808,-0.825103554184649,0.564981526133253
48,0.2356532,-0.00388357186363275,0.0297798020896714,-0.2194971,-0.0164800302462804,0.126371303634627,-0.931441202580741,0.940119147578801,0.127441350350792,0.931441202580741,-0.720559279077433,-0.826154905788166,0.563443050930745
49,0.2355323,-0.0037874760520695,0.0303053945601274,-0.219618,-0.0160804953378772,0.128667679804967,-0.9324326217678,0.941405623678485,0.129668632123212,0.9324326217678,-0.723232009439708,-0.825403658429723,0.56454300159583
50,0.2356309,-0.0038284175347002,0.0297925300117328,-0.2195811,-0.0162475190422827,0.126437279710483,-0.931885843495059,0.940564507560281,0.127476929581851,0.931885843495059,-0.721497059594469,-0.826523203309064,0.562902650901312
